RecipesEN {
    Recipe_MakeaBoxofSyringes = "Pack 50 Empty Syringes",
    Recipe_OpenBoxofSyringes = "Open 50 Pack of Syringes",
    Recipe_FillSyringesWithBlood = "Grind Meat and Extract Zombie Blood",
    Recipe_FillTestTubeWithBaseSerum = "Clean Blood Samples & Fill Test Tube",
    Recipe_CraftZomCureSyringe = "Finalize Cure Serum and Fill Syringe",
    Recipe_MakeaBoxofTestTubes = "Pack 10 Empty Test Tubes",
    Recipe_OpenBoxofTestTubes = "Open 10 Pack of Test Tubes",
    Recipe_MakeaBoxofEngineParts = "Package 10 Engine Parts",
    Recipe_OpenBoxofEngineParts = "Open Engine Parts 10 Pack",
    Recipe_MakeSomeBandages = "Make some Bandages",
    Recipe_DismantleReceiver = "Dismantle Receiver",
    Recipe_DismantleRadioTransmitter = "Dismantle Radio Transmitter",
    Recipe_DismantleMakeshiftRadio = "Dismantle Makeshift Ham Radio",

    Recipe_OpenBoxofElectronicsScrap = "Open 50 Pack of Electronics Scrap",
    Recipe_MakeaBoxofElectronicsScrap = "Pack 50 Electronics Scrap",
    Recipe_OpenBoxofElectricWire = "Open 50 pack of Electric Wire",
    Recipe_MakeaBoxofElectricWire = "Pack 50 Electric Wire",

    Recipe_ScrapMetalFromUnusableMetal = "Make Scrap Metal from Unusable Metal",
    Recipe_MakeSheetMetalFromUnusableMetal = "Make Sheet Metal from Unusable Metal",
    Recipe_MakeMetalBarFromUnusableMetal = "Make Metal Bar from Unusable Metal",
    Recipe_MakeMetalPipeFromUnusableMetal = "Make Metal Pipe from Unusable Metal",
    Recipe_MakeWireFromUnusableMetal = "Make Wire from Unusable Metal",
    Recipe_MakeNailsFromUnusableMetal = "Make Nails from Unusable Metal",
    Recipe_MakeScrewsFromUnusableMetal = "Make Screws from Unusable Metal",
    Recipe_MakeSheetMetalFromScrapMetal = "Make Sheet Metal from Scrap Metal",
    Recipe_MakeMetalBarFromScrapMetal = "Make Metal Bar from Scrap Metal",
    Recipe_MakeMetalPipeFromScrapMetal = "Make Metal Pipe from Scrap Metal",
    Recipe_MakeWireFromScrapMetal = "Make Wire from Scrap Metal",
    Recipe_MakeNailsFromScrapMetal = "Make Nails from Scrap Metal",
    Recipe_MakeScrewsFromScrapMetal = "Make Screws from Scrap Metal",
    Recipe_MakeScrapMetalFromIronScrapOrSteelScrap = "Make Scrap Metal from Iron-Steel Scrap",
    Recipe_MakeSheetMetalFromIronScrapOrSteelScrap = "Make Sheet Metal from Iron-Steel Scrap",
    Recipe_MakeMetalBarFromIronScrapOrSteelScrap = "Make Metal Bar from Iron-Steel Scrap",
    Recipe_MakeMetalPipeFromIronScrapOrSteelScrap = "Make Metal Pipe from Iron-Steel Scrap",
    Recipe_MakeWireFromIronScrapOrSteelScrap = "Make Wire from Iron-Steel Scrap",
    Recipe_MakeNailsFromIronScrapOrSteelScrap = "Make Nails from Iron-Steel Scrap",
    Recipe_MakeScrewsFromIronScrapOrSteelScrap = "Make Screws from Iron-Steel Scrap",
    Recipe_MakeWireandLimestoneIntoWeldingRods = "Make Welding Rods from Wire and Limestone",
    Recipe_MakeWireandElectronicsScrapIntoElectricWire = "Make Electric Wire from Wire and Elec Scrap",

    Recipe_FillTheMoneyBag = "Put 5 Money Bundles in Money Bag",
    Recipe_EmptyTheMoneyBag = "Empty your Money Bag",
    Recipe_FillTheBigMoneyBag = "Put 10 Money Bundles in Money Bag",
    Recipe_EmptyTheBigMoneyBag = "Empty your Money Bag",
    Recipe_ConvertDuffleMoney = "Convert Duffle Bag to Money Bag",
    Recipe_ConvertMoneyDuffle = "Convert Money Bag to Duffle Bag",

    Recipe_CraftSurvivorMultitool = "Make Survivor Edition MultiTool",

    Recipe_UnhotwireVehicle = "Unhotwire Vehicle",
    Recipe_MakeCarKey = "Make a Car Key",

    Recipe_MakeMortarAndPestle = "Carve a Mortar & Pestle",

    Recipe_MakeSomeNails = "Make a Box of Nails",
    Recipe_MakeSomeNailsScrap = "Make a Box of Nails",
    Recipe_MakeSomeNailsBatch = "Make 4 Boxes of Nails",

    Recipe_CraftEnginePartsWeld = "Make Spare Engine Parts (Welding)",
    Recipe_CraftEnginePartsMech = "Make Spare Engine Parts {Mechanics)",
    Recipe_CraftEnginePartsSmithing = "Make Spare Engine Parts (Smithing)",

    Recipe_FixCFAxeWithMetal = "Repair Carbon Fibre Combat Axe",
    Recipe_FixCFLRAxeWithMetal = "Repair Carbon Fibre Long Reach Axe",
    
    Recipe_MakeANeedle = "Make a Needle",
    Recipe_MakeASheet = "Make a Sheet",
    Recipe_MakeAPickAxeHead = "Make a Pick Axe Head",

    Recipe_ConvertTo9mms = "Convert Ammo to 9mm",
    Recipe_ConvertTo38s = "Convert Ammo to .38",
    Recipe_ConvertTo44s = "Convert Ammo to .44",
    Recipe_ConvertTo45s = "Convert Ammo to .45",
    Recipe_ConvertTo223s = "Convert Ammo to .223",
    Recipe_ConvertTo308s = "Convert Ammo to .308",
    Recipe_ConvertTo556s = "Convert Ammo to 5.56mm",
    Recipe_ConvertToShotgunShells = "Convert Ammo to Shotgun Shells",
    Recipe_ConvertTo9mmBox = "Convert Box to 9mm",
    Recipe_ConvertTo38Box = "Convert Box to .38",
    Recipe_ConvertTo44Box = "Convert Box to .44",
    Recipe_ConvertTo45Box = "Convert Box to .45",
    Recipe_ConvertTo223Box = "Convert Box to .223",
    Recipe_ConvertTo308Box = "Convert Box to .308",
    Recipe_ConvertTo556Box = "Convert Box to 5.56mm",
    Recipe_ConvertToShotgunShellsBox = "Convert Box to Shotgun Shells",

}
